Transaction ID,Date,Time,Amount,Type,Description,Merchant,Category,Payment Mode,Account,Location,Recurring
4a388973,04/06/2025,16:27,-4599.48,Credit,Payment to Starbucks,Starbucks,Food & Drinks,Cash,SBI,Mumbai,True
dacf8569,2025-06-18,02:02,576.16,Debit,Payment to Swiggy,Swiggy,Food & Drinks,Card,ICICI,Mumbai,True
abdeffa9,2025-06-30,18:21,2621.45,Debit,Payment to Airtel,Airtel,Utilities,Cash,HDFC,Mumbai,True
aa62a400,11/06/2025,01:49,4391.21,Debit,Payment to Electricity Board,Electricity Board,,Cash,ICICI,Hyderabad,True
93fb7537,2025-06-08,16:07,284.39,Debit,Payment to BigBasket,BigBasket,,Card,SBI,Chennai,False
2a710d53,08/06/2025,18:00,922.69,Debit,Payment to Starbucks,Starbucks,Food & Drinks,UPI,Paytm Wallet,Hyderabad,False
99bad004,15/06/2025,21:43,3970.25,Debit,Payment to Electricity Board,Electricity Board,Utilities,Card,SBI,Bangalore,True
52624b44,19/06/2025,02:14,3832.82,Debit,Payment to PayTM,PayTM,Wallet Top-Up,Wallet,Paytm Wallet,Mumbai,True
2617137b,26/06/2025,22:49,3053.98,Debit,Payment to Landlord,Landlord,Rent,Wallet,HDFC,Chennai,True
c4334a10,01/07/2025,17:52,1545.2,Debit,Payment to PayTM,PayTM,Wallet Top-Up,Wallet,Paytm Wallet,Hyderabad,True
05e83b8d,2025-06-22,13:42,1959.14,Debit,Payment to Starbucks,Starbucks,Food & Drinks,Wallet,SBI,Delhi,False
616a9ac4,2025-06-24,14:12,4373.93,Debit,Payment to Swiggy,Swiggy,Food & Drinks,Wallet,HDFC,Chennai,False
25dbdd03,2025-06-10,11:59,4298.1,Debit,Payment to Hotstar,Hotstar,Entertainment,Wallet,HDFC,Bangalore,False
c3852212,2025-06-24,06:49,3608.91,Debit,Payment to Starbucks,Starbucks,Food & Drinks,Wallet,Paytm Wallet,Bangalore,False
173e68b8,2025-06-27,14:04,2133.76,Debit,Payment to Electricity Board,Electricity Board,,Card,SBI,Chennai,True
71d740ca,15/06/2025,03:11,1055.65,Debit,Payment to Netflix,Netflix,Entertainment,Wallet,ICICI,Chennai,False
31bdac0c,2025-06-14,14:44,683.12,Debit,Payment to Electricity Board,Electricity Board,Utilities,UPI,HDFC,Chennai,False
1b6f3c28,27/06/2025,13:30,4403.05,Debit,Payment to Amazon,Amazon,Shopping,Cash,ICICI,Delhi,True
